OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40331,110010027013,16.24488857,3.027051325,10.62134868,20.82137752,20.59974553,5.72260506,22.95986853,17.98122362,18.09145445,0.459584864,31.8450525,31.40422189,63.67139863
40332,110010027014,92.92901539,95.94747415,91.13292311,88.91544011,88.5908894,97.37482688,80.0982029,87.49504392,83.28267111,98.84345727,85.533679,84.24140776,95.32404344
40333,110010027021,16.24488857,80.23539517,69.5901036,65.29732304,65.20373953,87.08261127,75.4058476,70.88108613,68.23393703,90.0806985,64.33229721,64.16406589,63.67139863
40334,110010027022,16.24488857,19.50048559,35.87135817,47.81506203,47.58668869,6.752860934,30.85081775,35.9761295,35.63614725,2.546123311,52.47601332,52.45232034,63.67139863
40335,110010027023,16.24488857,15.24847358,28.54917851,41.98335915,41.53231328,8.292462269,24.8678166,31.08869835,31.54173963,1.568619581,48.90594951,48.79312829,63.67139863
40336,110010028011,93.68846101,90.05120759,88.00580643,84.44367105,84.1177725,96.45724428,79.22727752,85.42190938,82.09474883,98.53464939,81.03860662,79.88475663,94.19588893
40337,110010028012,92.79724783,94.2451307,89.37380293,86.33264396,85.91820755,96.93788783,79.13206574,86.23256985,82.67397503,98.56995222,82.86013725,81.60019981,94.2931643
40338,110010028021,69.36668398,95.83803993,93.70269661,92.17645884,91.92284079,99.08525749,81.28294617,90.73632701,87.38946043,99.80807383,89.25581947,87.79899058,86.54349195
40339,110010028022,76.4457182,87.25195047,78.38689964,73.05711983,72.86186088,93.49893225,77.06696618,78.34311449,75.49136606,96.16758703,70.60809705,70.13526408,78.77241823
40340,110010029001,93.59171611,82.2687454,73.15302921,68.2089686,68.06266524,86.87114414,74.10691739,74.16485157,72.56966257,92.74980993,66.63164192,66.36623837,84.11540121
40341,110010029002,90.0049992,17.79345579,29.34425281,42.76871745,42.32552085,5.636588741,34.10585933,31.02742455,27.3724781,1.503998086,49.40845861,49.287408,9.56848716
40342,110010030001,93.02894855,69.6428322,62.61361667,60.50268891,60.47197265,76.66235135,70.28677957,63.78360191,63.41564848,82.33503907,60.64067556,60.62145833,72.54248008
40343,110010030002,94.4457601,93.43832614,88.00034432,84.14983294,83.82082712,97.69862111,78.52196525,86.217427,84.2820076,99.16216435,80.71887562,79.62249037,94.58638698
40344,110010031001,93.9939468,89.31897647,84.03751163,79.12014052,78.80104307,96.5165661,76.65239549,83.05607653,82.42266583,97.83574985,75.95952389,75.13618469,92.11409995
40345,110010032001,90.68745779,86.80001614,75.92926483,70.72332564,70.49208131,85.14599125,73.95231155,76.47194708,75.53617878,94.41447872,68.59959904,68.24850746,83.99236767
40346,110010032002,90.78891557,85.29209508,75.23545714,70.03465476,69.83007614,85.34044235,73.79985148,76.17601478,75.9381415,94.0569324,68.05952235,67.74513148,83.49017242
40347,110010032003,93.98324032,84.72759193,75.40006783,70.17747343,69.98496046,89.39133889,73.93353042,76.59235941,77.02587422,94.23548758,68.1880037,67.86252331,86.25009307
40348,110010032004,97.57273849,94.34079822,85.89175524,81.62466327,81.23944955,96.70181474,76.49083683,85.03376244,86.14613541,98.31393136,78.25797414,77.27865827,96.17576254
