OBJECTID,GEOID10,Lead Paint,Diesel Particulate Matter,Air Toxics Cancer Risk,Air Toxics Respiratory HI,Traffic Proximity,Wastewater Discharge,Superfund Proximity,RMP Facility Proximity,Hazardous Waste Proximity,Ozone,Particulater Patter 2.5,Underground Storage Tanks
40432,110010067001,6.40,16.68,29.42,29.12,10.39,30.06,3.37,23.46,1.33,40.61,39.68,3.01
40433,110010067002,0.64,3.64,9.01,9.02,2.73,23.22,0.83,11.94,0.26,18.56,17.38,0.66
40434,110010067003,0.20,2.41,6.35,6.41,1.39,22.74,0.65,9.99,0.14,14.34,13.26,1.92
40435,110010068011,68.31,60.80,59.18,59.52,66.67,67.62,69.19,60.28,70.96,59.89,59.90,70.83
40436,110010068012,23.17,38.20,51.48,48.60,14.69,40.10,12.86,40.42,8.07,53.28,53.06,8.54
40437,110010068021,15.17,29.99,42.18,41.72,12.27,30.95,5.94,37.12,4.71,49.43,48.96,2.97
40438,110010068022,0.96,5.67,11.64,11.61,1.73,19.72,0.46,24.42,0.62,22.26,20.96,0.23
40439,110010068041,99.84,97.24,95.44,97.50,84.70,89.20,99.47,82.32,98.82,95.93,95.09,96.89
40440,110010069001,6.17,10.82,28.02,20.23,4.20,24.60,1.28,19.47,0.57,32.38,31.18,0.41
40441,110010069002,2.65,7.44,22.63,15.13,2.83,21.39,0.49,22.74,0.59,26.71,25.48,0.17
40442,110010070001,3.47,5.01,12.96,12.86,0.02,22.96,0.88,15.99,0.29,23.82,22.74,8.80
40443,110010070002,2.04,5.39,13.71,13.65,0.02,22.17,0.40,19.81,0.35,24.79,23.76,0.88
40444,110010071001,80.54,70.60,66.41,66.37,94.28,79.86,96.69,63.77,86.83,65.05,64.98,77.53
40445,110010071002,94.98,93.80,93.17,92.90,99.56,85.23,99.79,78.29,98.95,89.95,88.81,99.05
40446,110010072001,38.38,0.51,1.67,1.78,0.00,17.09,0.24,6.95,0.04,4.32,3.96,0.02
40447,110010072002,39.24,12.91,25.84,25.62,0.12,22.97,1.86,35.69,0.51,37.50,36.65,0.87
40448,110010073011,69.34,73.21,70.57,70.36,89.32,80.48,80.65,68.87,82.31,68.27,67.96,74.18
40449,110010073041,94.09,97.76,97.25,98.65,95.87,86.76,98.39,82.76,97.01,97.67,96.83,89.54
40450,110010073042,92.20,86.12,80.76,84.96,90.43,81.76,92.58,72.87,90.02,81.30,80.29,74.48
40451,110010073043,87.88,81.39,75.35,79.04,89.39,80.58,89.18,70.26,87.30,75.72,75.02,71.52
40452,110010074011,95.75,87.62,82.04,86.31,99.49,82.55,96.92,71.70,94.21,82.72,81.74,95.85
40453,110010074012,83.47,90.13,85.45,89.65,97.02,82.26,97.38,73.54,94.79,86.15,85.09,84.59
40454,110010074031,93.51,97.05,96.29,96.55,97.95,83.88,98.42,79.92,96.84,96.76,95.76,77.41
40455,110010074041,87.05,92.91,90.04,93.62,96.41,80.59,97.43,75.42,94.61,90.81,89.49,74.65
40456,110010074042,87.66,88.72,83.99,88.31,91.75,80.23,95.28,73.06,91.91,84.61,83.59,73.21
40457,110010074043,70.65,70.64,65.58,67.50,82.81,73.84,82.87,63.51,79.93,65.94,65.80,69.56
40458,110010074061,85.61,96.83,98.00,97.86,97.01,84.46,99.17,79.83,97.98,96.49,95.48,92.07
40459,110010074062,90.82,94.32,95.59,95.28,97.08,79.58,98.31,77.24,96.00,92.94,91.69,87.00
40460,110010074071,84.36,89.57,84.90,89.16,93.24,78.32,96.99,72.47,93.80,85.57,84.56,63.67
40461,110010074072,93.28,94.75,92.58,95.61,97.32,84.12,98.95,76.81,97.21,93.33,92.14,95.11
40462,110010074081,97.96,98.65,98.40,98.58,99.36,84.30,99.19,81.86,98.44,98.64,98.12,95.76
40463,110010074091,93.03,85.64,80.22,80.83,94.01,82.25,92.65,70.15,89.67,80.73,79.80,63.67
40464,110010074092,92.28,94.69,92.73,93.25,93.91,85.15,97.27,77.19,95.17,93.45,92.20,63.67
40465,110010074093,91.68,92.80,89.91,90.58,89.87,84.79,96.41,76.07,93.73,90.67,89.31,76.62
40466,110010075021,99.84,99.13,99.03,99.12,98.87,82.62,99.62,83.36,99.61,99.15,98.85,98.98
40467,110010075022,91.02,93.83,91.44,92.05,97.21,82.22,97.52,75.02,95.68,92.16,90.98,94.88
40468,110010075031,93.65,85.62,79.60,83.74,98.53,82.84,98.11,70.31,94.02,80.12,79.33,94.74
40469,110010075032,96.64,93.50,90.41,93.87,94.41,84.01,99.00,75.35,97.04,91.17,89.89,98.39
40470,110010075041,99.48,98.38,97.93,98.16,91.92,85.40,99.66,81.51,99.04,98.26,97.67,93.49
40471,110010076011,81.71,77.14,70.31,73.21,98.26,81.97,95.28,66.45,89.03,70.56,70.33,84.16
40472,110010076012,88.55,78.09,71.17,74.20,94.17,80.54,94.21,66.54,88.84,71.34,71.13,89.00
40473,110010076013,98.34,93.91,90.50,93.95,99.35,85.68,99.45,76.55,97.59,91.22,90.05,82.55
40474,110010076014,91.35,87.31,81.00,85.20,98.38,83.95,98.97,71.64,95.07,81.51,80.74,63.67
40475,110010076015,90.00,82.94,75.91,79.65,98.67,82.90,98.31,68.96,93.01,76.25,75.74,91.19
40476,110010076031,97.72,90.79,86.88,87.54,96.29,82.22,95.59,72.86,94.04,87.49,86.37,82.81
40477,110010076032,86.37,76.77,70.73,71.16,87.46,76.83,88.16,65.16,86.56,70.90,70.61,77.94
40478,110010076033,96.41,86.49,81.07,81.73,92.89,81.22,93.56,69.58,91.61,81.55,80.67,63.67
40479,110010076034,96.39,87.91,82.85,83.55,92.50,80.94,94.90,70.30,92.38,83.44,82.49,85.60
40480,110010076041,96.45,92.96,89.31,93.03,97.65,83.97,98.55,75.42,96.69,90.04,88.88,96.64
40481,110010076042,87.28,78.28,71.62,74.77,88.43,76.54,90.39,65.92,89.68,71.76,71.52,82.86
40482,110010076043,91.12,83.67,77.05,80.94,91.76,80.53,94.91,69.05,92.60,77.43,76.86,90.34
40483,110010076051,87.71,75.48,69.15,71.84,82.67,78.98,93.24,65.29,87.27,69.41,69.23,63.67
40484,110010076052,97.92,96.28,94.66,97.03,97.42,83.87,99.22,78.33,98.42,95.24,94.23,96.82
40485,110010076053,92.03,88.37,82.87,87.20,95.56,83.01,98.67,72.14,95.34,83.48,82.59,92.45
40486,110010077031,91.42,88.59,82.90,83.60,91.55,78.64,92.57,85.86,92.71,83.41,82.71,95.89
40487,110010077032,98.68,97.66,96.66,96.95,97.71,82.90,98.18,91.17,98.06,97.08,96.34,98.97
40488,110010077033,99.67,98.64,98.10,98.32,97.29,84.48,98.89,84.29,98.69,98.38,97.89,98.12
40489,110010077034,91.30,87.45,81.50,82.13,95.33,81.12,94.15,74.63,92.95,81.91,81.29,93.85
40490,110010077071,98.79,98.13,97.93,98.15,98.54,82.05,97.91,92.97,98.28,98.23,97.65,92.11
40491,110010077072,96.62,88.63,84.50,85.20,90.71,78.41,93.27,76.41,93.23,85.07,84.18,85.90
